age,country,visa_type,employment_status,financial_support,travel_history,purpose,duration,sponsorship,risk_score,risk_flag
48,Ghana,Business,Self-Employed,6633,1,Business Meeting,28,Yes,2.0,0
45,Egypt,Business,Self-Employed,5887,3,Business Meeting,46,No,3.0,0
39,UK,Student,Unemployed,1153,2,Education,4,No,4.5,1
44,USA,Business,Employed,2134,1,Business Meeting,31,No,1.0,0
20,South Africa,Business,Employed,2000,3,Business Meeting,38,Yes,1.0,0
43,India,Tourist,Unemployed,1810,1,Family Visit,24,No,5.0,1
51,Kenya,Student,Unemployed,920,2,Education,42,No,6.5,1
21,Pakistan,Work,Employed,7552,0,Employment,136,Yes,4.0,1
36,Ghana,Business,Student,2000,1,Business Meeting,38,No,3.0,0
58,Nigeria,Work,Student,10023,2,Employment,126,Yes,3.5,0
53,Germany,Tourist,Employed,7479,2,Leisure,15,Yes,0.0,0
47,India,Tourist,Unemployed,1303,0,Leisure,7,No,7.0,1
50,Germany,Student,Employed,13680,2,Education,28,No,1.0,0
33,Pakistan,Business,Employed,6539,3,Business Meeting,24,No,4.0,1
50,Egypt,Work,Student,7499,2,Employment,211,Yes,2.5,0
44,Germany,Student,Self-Employed,3818,1,Education,26,No,1.0,0
36,Nigeria,Student,Student,5776,1,Education,39,No,4.0,1
27,Pakistan,Business,Employed,7140,4,Business Meeting,39,No,4.0,1
52,South Africa,Business,Employed,2000,2,Business Meeting,29,No,2.0,0
33,Kenya,Business,Employed,7288,3,Business Meeting,33,No,3.0,0
38,Nigeria,Business,Student,2756,6,Business Meeting,45,No,4.0,1
60,UK,Work,Employed,2000,1,Employment,210,Yes,0.5,0
26,Nigeria,Student,Student,2872,1,Education,49,No,4.0,1
24,Pakistan,Business,Employed,7237,4,Business Meeting,1,Yes,3.0,0
22,Ghana,Business,Student,6246,3,Business Meeting,45,Yes,2.0,0
43,Egypt,Tourist,Student,4448,5,Family Visit,23,No,3.0,0
52,Pakistan,Tourist,Unemployed,1789,1,Leisure,10,No,6.0,1
32,Germany,Tourist,Employed,2000,2,Leisure,7,No,1.0,0
46,India,Work,Unemployed,500,3,Employment,107,Yes,6.0,1
20,Nigeria,Student,Student,5502,3,Education,17,Yes,3.0,0
45,USA,Work,Employed,9501,2,Employment,277,Yes,0.5,0
54,UK,Work,Employed,4130,2,Employment,146,Yes,0.5,0
57,India,Business,Unemployed,813,2,Business Meeting,12,Yes,5.5,1
27,Egypt,Work,Employed,4343,1,Employment,217,Yes,2.5,0
47,Germany,Student,Unemployed,1773,0,Education,56,No,3.5,0
36,Pakistan,Work,Employed,4912,6,Employment,215,Yes,3.5,0
55,USA,Student,Unemployed,911,1,Education,18,No,4.5,1
47,Germany,Student,Employed,5900,1,Education,56,No,1.0,0
24,Pakistan,Work,Employed,4447,3,Employment,193,Yes,3.5,0
54,USA,Student,Self-Employed,4531,2,Education,45,Yes,0.0,0
35,UK,Tourist,Employed,6720,9,Leisure,16,No,1.0,0
36,Pakistan,Work,Unemployed,814,1,Employment,129,Yes,7.0,1
32,USA,Work,Unemployed,1209,1,Employment,204,Yes,4.0,1
58,Ghana,Tourist,Self-Employed,8453,3,Leisure,7,No,3.0,0
20,Pakistan,Student,Student,10485,0,Education,33,Yes,3.5,0
38,Germany,Business,Employed,6748,4,Business Meeting,53,Yes,0.0,0
41,South Africa,Student,Student,6526,0,Education,36,Yes,1.5,0
36,Pakistan,Student,Student,9220,0,Education,14,No,4.5,1
27,India,Work,Student,2000,1,Employment,237,Yes,2.5,0
53,UK,Student,Employed,7101,0,Education,22,No,1.5,0
52,Germany,Tourist,Employed,10696,4,Family Visit,13,No,1.0,0
24,USA,Work,Employed,2310,2,Employment,169,Yes,0.5,0
53,Egypt,Student,Self-Employed,6731,3,Education,21,Yes,2.0,0
58,India,Business,Self-Employed,7950,2,Business Meeting,28,No,3.0,0
25,UK,Work,Employed,8693,1,Employment,167,Yes,0.5,0
37,Nigeria,Business,Employed,6222,4,Business Meeting,26,Yes,3.0,0
26,South Africa,Business,Employed,7028,4,Business Meeting,36,No,2.0,0
44,South Africa,Work,Student,9747,1,Employment,209,Yes,1.5,0
49,India,Business,Self-Employed,7124,1,Business Meeting,18,Yes,2.0,0
31,USA,Business,Employed,3777,3,Business Meeting,29,Yes,0.0,0
24,USA,Student,Employed,5169,0,Education,29,No,1.5,0
21,USA,Business,Employed,4643,2,Business Meeting,-6,No,1.0,0
23,Pakistan,Work,Unemployed,1186,0,Employment,208,Yes,7.5,1
19,Egypt,Tourist,Student,3099,0,Leisure,13,No,3.5,0
31,Egypt,Tourist,Student,13206,2,Leisure,13,No,3.0,0
39,Kenya,Work,Student,6625,0,Employment,57,Yes,2.5,0
18,Egypt,Student,Student,5192,0,Education,28,Yes,2.5,0
52,Ghana,Student,Student,2995,3,Education,25,Yes,2.0,0
26,Nigeria,Tourist,Employed,10198,0,Leisure,20,No,4.5,1
29,Nigeria,Student,Employed,11435,5,Education,35,No,4.0,1
25,South Africa,Tourist,Employed,6343,3,Family Visit,20,No,2.0,0
46,India,Work,Self-Employed,4891,0,Employment,192,Yes,3.0,0
60,Nigeria,Student,Employed,4045,4,Education,22,No,4.0,1
48,Nigeria,Business,Employed,7856,3,Business Meeting,46,Yes,3.0,0
22,Pakistan,Tourist,Employed,2616,1,Leisure,17,Yes,3.0,0
57,Germany,Student,Employed,9273,4,Education,28,No,1.0,0
47,Germany,Business,Employed,6673,6,Business Meeting,45,No,1.0,0
31,South Africa,Business,Employed,8401,4,Business Meeting,32,Yes,1.0,0
47,USA,Business,Employed,7482,1,Business Meeting,33,Yes,0.0,0
38,UK,Student,Employed,5923,3,Education,47,Yes,0.0,0
22,Pakistan,Tourist,Student,9446,0,Leisure,7,No,4.5,1
26,USA,Tourist,Employed,7122,2,Family Visit,13,No,1.0,0
40,UK,Business,Student,4596,2,Business Meeting,35,No,1.0,0
56,Germany,Student,Employed,2000,4,Education,33,No,1.0,0
27,Kenya,Business,Employed,4954,0,Business Meeting,24,Yes,2.5,0
41,South Africa,Tourist,Student,8541,5,Leisure,22,No,2.0,0
57,South Africa,Tourist,Unemployed,836,0,Family Visit,10,Yes,5.0,1
37,Germany,Student,Employed,8182,0,Education,30,Yes,0.5,0
54,Ghana,Business,Employed,5607,3,Business Meeting,14,No,3.0,0
23,Nigeria,Work,Employed,6418,3,Employment,207,Yes,3.5,0
39,Pakistan,Work,Employed,3386,0,Employment,204,Yes,4.0,1
54,USA,Tourist,Student,9324,2,Leisure,7,Yes,0.0,0
21,Egypt,Tourist,Employed,6829,2,Family Visit,9,No,3.0,0
44,Pakistan,Student,Employed,8610,6,Education,37,No,4.0,1
45,USA,Tourist,Employed,6592,3,Family Visit,17,No,1.0,0
20,Germany,Work,Employed,3685,2,Employment,197,Yes,0.5,0
21,Egypt,Tourist,Employed,5807,5,Leisure,16,No,3.0,0
36,Germany,Student,Employed,9568,5,Education,11,No,1.0,0
29,UK,Work,Employed,5480,1,Employment,180,Yes,0.5,0
50,Kenya,Student,Employed,10783,2,Education,17,No,3.0,0
45,Nigeria,Tourist,Employed,2120,1,Leisure,9,No,4.0,1
45,Egypt,Business,Student,9268,3,Business Meeting,53,No,3.0,0
43,India,Tourist,Self-Employed,4637,1,Leisure,13,No,3.0,0
47,Egypt,Student,Employed,10336,6,Education,2,No,3.0,0
45,Kenya,Business,Employed,8276,2,Business Meeting,34,No,3.0,0
39,Germany,Work,Employed,5433,1,Employment,213,Yes,0.5,0
22,Ghana,Tourist,Employed,3388,2,Leisure,7,No,3.0,0
40,USA,Work,Employed,8754,3,Employment,85,Yes,0.0,0
34,Ghana,Work,Employed,7650,3,Employment,121,Yes,2.5,0
59,Ghana,Tourist,Employed,2000,4,Family Visit,17,No,3.0,0
55,Egypt,Business,Unemployed,1235,3,Business Meeting,32,No,6.5,1
38,Egypt,Student,Employed,7498,4,Education,10,Yes,2.0,0
58,Pakistan,Student,Student,3844,3,Education,43,No,4.0,1
50,USA,Tourist,Employed,3493,4,Family Visit,29,Yes,0.0,0
36,USA,Tourist,Unemployed,1612,1,Leisure,25,No,3.0,0
42,South Africa,Business,Employed,10378,3,Business Meeting,4,No,2.0,0
46,Nigeria,Work,Employed,2000,4,Employment,65,Yes,3.0,0
50,Pakistan,Work,Self-Employed,7706,1,Employment,277,Yes,3.5,0
24,Pakistan,Student,Self-Employed,4254,0,Education,14,Yes,3.5,0
20,Ghana,Work,Student,4240,1,Employment,168,Yes,2.5,0
51,Pakistan,Work,Employed,4134,5,Employment,222,Yes,3.5,0
42,Germany,Business,Student,8084,2,Business Meeting,59,No,1.0,0
58,Nigeria,Student,Employed,7674,2,Education,31,Yes,3.0,0
36,UK,Student,Student,3255,2,Education,31,No,1.0,0
27,Egypt,Student,Employed,9273,2,Education,39,No,3.0,0
37,USA,Business,Employed,6218,3,Business Meeting,41,No,1.0,0
37,India,Business,Unemployed,736,3,Business Meeting,35,No,6.5,1
60,Ghana,Tourist,Unemployed,500,1,Family Visit,7,No,6.5,1
41,Nigeria,Student,Employed,6261,3,Education,40,Yes,3.0,0
30,Pakistan,Work,Self-Employed,8508,3,Employment,181,Yes,3.5,0
22,Ghana,Student,Student,4684,4,Education,47,Yes,2.0,0
51,South Africa,Tourist,Unemployed,912,1,Leisure,8,No,5.5,1
28,Ghana,Work,Student,6084,2,Employment,179,Yes,2.5,0
28,Egypt,Business,Employed,13394,1,Business Meeting,25,No,3.0,0
46,Kenya,Student,Student,2000,1,Education,30,No,3.0,0
52,Kenya,Work,Employed,7523,3,Employment,183,Yes,2.5,0
30,Pakistan,Student,Unemployed,1141,0,Education,18,No,8.0,1
47,Pakistan,Student,Student,10592,1,Education,48,No,4.0,1
28,UK,Work,Student,5359,0,Employment,269,Yes,1.0,0
34,Ghana,Tourist,Unemployed,718,0,Family Visit,11,No,7.0,1
51,India,Tourist,Employed,4159,1,Leisure,11,Yes,2.0,0
27,South Africa,Business,Employed,6481,3,Business Meeting,30,No,2.0,0
40,Pakistan,Tourist,Employed,2000,3,Family Visit,20,No,4.0,1
42,Kenya,Tourist,Employed,2489,3,Leisure,7,No,3.0,0
59,India,Student,Student,4270,0,Education,-8,Yes,2.5,0
48,Germany,Work,Student,8589,1,Employment,132,Yes,0.5,0
46,Pakistan,Tourist,Self-Employed,3017,3,Leisure,13,Yes,3.0,0
53,Ghana,Business,Employed,2420,3,Business Meeting,29,Yes,2.0,0
25,Germany,Tourist,Employed,3375,5,Family Visit,7,Yes,0.0,0
56,Pakistan,Tourist,Unemployed,500,1,Leisure,11,No,7.5,1
45,Germany,Tourist,Unemployed,955,5,Leisure,20,No,4.5,1
60,Ghana,Tourist,Employed,2426,3,Family Visit,14,Yes,2.0,0
52,South Africa,Tourist,Employed,6710,1,Family Visit,10,Yes,1.0,0
41,UK,Student,Student,3592,1,Education,49,No,1.0,0
40,India,Work,Student,8040,1,Employment,249,Yes,2.5,0
55,India,Student,Employed,6847,2,Education,19,No,3.0,0
59,USA,Work,Student,8988,2,Employment,134,Yes,0.5,0
48,Pakistan,Work,Student,6843,3,Employment,124,Yes,3.5,0
47,India,Tourist,Employed,10366,4,Leisure,26,No,3.0,0
38,Nigeria,Student,Employed,2865,4,Education,0,No,4.0,1
48,South Africa,Student,Employed,6631,6,Education,27,No,2.0,0
40,Germany,Tourist,Student,5253,4,Family Visit,25,Yes,0.0,0
45,USA,Business,Student,6978,1,Business Meeting,30,No,1.0,0
39,UK,Work,Employed,5716,5,Employment,174,Yes,0.5,0
41,Pakistan,Student,Student,12901,2,Education,46,No,4.0,1
45,India,Work,Employed,8260,3,Employment,202,Yes,2.5,0
24,USA,Tourist,Employed,5372,2,Family Visit,8,No,1.0,0
45,Egypt,Work,Unemployed,1359,1,Employment,266,Yes,6.0,1
46,USA,Tourist,Student,6833,0,Family Visit,24,No,1.5,0
35,UK,Tourist,Employed,3645,3,Family Visit,18,No,1.0,0
19,Ghana,Work,Student,8167,1,Employment,157,Yes,2.5,0
20,Pakistan,Work,Employed,11180,3,Employment,156,Yes,3.5,0
41,USA,Business,Self-Employed,2000,1,Business Meeting,48,Yes,0.0,0
46,Ghana,Student,Employed,4344,1,Education,68,No,3.0,0
26,Egypt,Student,Employed,10626,4,Education,60,No,3.0,0
25,Kenya,Tourist,Student,5978,0,Family Visit,23,No,3.5,0
25,South Africa,Student,Student,5489,3,Education,23,No,2.0,0
57,Kenya,Student,Unemployed,500,2,Education,27,No,6.5,1
25,Kenya,Work,Student,7440,4,Employment,98,Yes,2.5,0
29,Pakistan,Business,Self-Employed,9663,0,Business Meeting,38,No,4.5,1
60,USA,Student,Student,9442,2,Education,25,No,1.0,0
37,Germany,Work,Student,4533,1,Employment,112,Yes,0.5,0
41,Ghana,Work,Employed,6422,3,Employment,73,Yes,2.0,0
26,Kenya,Work,Student,7540,1,Employment,148,Yes,2.5,0
41,Nigeria,Student,Employed,5917,3,Education,56,No,4.0,1
57,Ghana,Tourist,Employed,3004,3,Family Visit,16,No,3.0,0
51,Pakistan,Business,Student,5699,1,Business Meeting,26,No,4.0,1
26,India,Student,Unemployed,886,0,Education,35,No,7.0,1
40,South Africa,Work,Student,5088,1,Employment,274,Yes,1.5,0
58,South Africa,Work,Student,4421,0,Employment,179,Yes,2.0,0
45,Ghana,Tourist,Student,2000,2,Leisure,20,No,3.0,0
38,Ghana,Work,Employed,6741,2,Employment,185,Yes,2.5,0
36,South Africa,Tourist,Employed,2000,4,Family Visit,10,Yes,1.0,0
57,Germany,Tourist,Employed,2000,3,Leisure,30,No,1.0,0
27,Egypt,Work,Unemployed,786,0,Employment,147,Yes,6.5,1
39,Egypt,Tourist,Student,6601,1,Leisure,22,Yes,2.0,0
34,Egypt,Work,Student,7286,0,Employment,221,Yes,3.0,0
57,UK,Tourist,Employed,7138,1,Family Visit,26,No,1.0,0
48,Germany,Work,Student,2200,4,Employment,176,Yes,0.5,0
37,UK,Business,Employed,7857,1,Business Meeting,60,Yes,0.0,0
44,Pakistan,Business,Employed,5451,1,Business Meeting,50,No,4.0,1
38,Ghana,Student,Student,4062,1,Education,18,No,3.0,0
26,UK,Student,Employed,6368,4,Education,54,Yes,0.0,0
47,Kenya,Tourist,Employed,6952,1,Leisure,13,Yes,2.0,0
36,Nigeria,Business,Student,5816,3,Business Meeting,18,No,4.0,1
38,Ghana,Student,Employed,9115,4,Education,37,Yes,2.0,0
47,South Africa,Business,Student,8757,3,Business Meeting,19,No,2.0,0
43,India,Business,Self-Employed,6203,1,Business Meeting,42,Yes,2.0,0
21,USA,Tourist,Employed,4069,4,Family Visit,21,Yes,0.0,0
24,Nigeria,Business,Employed,4360,2,Business Meeting,22,Yes,3.0,0
43,USA,Student,Employed,12187,3,Education,13,Yes,0.0,0
30,South Africa,Student,Employed,5761,3,Education,36,Yes,1.0,0
46,South Africa,Student,Student,5438,1,Education,44,No,2.0,0
25,Egypt,Work,Self-Employed,9562,2,Employment,335,Yes,2.5,0
41,UK,Student,Employed,3583,5,Education,38,No,1.0,0
30,Ghana,Business,Employed,5503,3,Business Meeting,49,Yes,2.0,0
39,Ghana,Business,Employed,7637,2,Business Meeting,17,Yes,2.0,0
26,South Africa,Student,Self-Employed,4824,1,Education,16,No,2.0,0
57,UK,Student,Employed,9651,5,Education,52,No,1.0,0
52,South Africa,Business,Student,2462,1,Business Meeting,47,Yes,1.0,0
41,Nigeria,Student,Unemployed,1141,2,Education,26,No,7.5,1
37,Egypt,Tourist,Employed,10127,2,Family Visit,21,No,3.0,0
54,Egypt,Work,Student,7541,4,Employment,190,Yes,2.5,0
48,Egypt,Work,Employed,6818,2,Employment,219,Yes,2.5,0
42,Egypt,Work,Student,9321,3,Employment,172,Yes,2.5,0
20,Kenya,Tourist,Employed,4394,4,Family Visit,13,No,3.0,0
44,Ghana,Work,Employed,6587,1,Employment,199,Yes,2.5,0
48,Egypt,Tourist,Student,8665,2,Leisure,10,No,3.0,0
51,Pakistan,Business,Employed,7101,1,Business Meeting,57,Yes,3.0,0
39,South Africa,Student,Unemployed,990,2,Education,25,No,5.5,1
57,Germany,Business,Employed,9150,0,Business Meeting,17,Yes,0.5,0
37,South Africa,Work,Self-Employed,8850,2,Employment,282,Yes,1.5,0
36,Germany,Work,Unemployed,1367,0,Employment,141,Yes,4.5,1
38,Pakistan,Business,Employed,6210,2,Business Meeting,47,No,4.0,1
36,Germany,Tourist,Employed,6795,5,Family Visit,18,No,1.0,0
40,UK,Work,Employed,10422,6,Employment,158,Yes,0.5,0
23,Germany,Student,Self-Employed,6226,0,Education,5,No,1.5,0
31,Pakistan,Work,Student,5230,5,Employment,35,Yes,3.0,0
53,Germany,Student,Employed,5683,2,Education,27,No,1.0,0
33,Egypt,Work,Employed,4712,3,Employment,138,Yes,2.5,0
